pitch,twist_factor,chord_factor,CT,CP
-0.9,0.8,1.3,0.53768,0.42646
-0.9,0.8,1.4,0.56976,0.44318
-0.9,0.9,0.5,0.22601,0.20811
-0.9,0.9,0.6,0.26796,0.24257
-0.9,0.9,0.7,0.30879,0.2747
-0.9,0.9,0.8,0.3484,0.30443
-0.9,0.9,0.9,0.38639,0.33179
-0.9,0.9,1.0,0.42304,0.35689
-0.9,0.9,1.1,0.45838,0.37984
-0.9,0.9,1.2,0.49257,0.4007
-0.9,0.9,1.3,0.52514,0.41938
-0.9,0.9,1.4,0.55613,0.43601
-0.9,1.0,0.5,0.22175,0.20448
-0.9,1.0,0.6,0.26263,0.23819
-0.9,1.0,0.7,0.30224,0.26952
-0.9,1.0,0.8,0.34056,0.29853
-0.9,1.0,0.9,0.37738,0.32529
-0.9,1.0,1.0,0.41295,0.34994
-0.9,1.0,1.1,0.44718,0.37247
-0.9,1.0,1.2,0.48019,0.39296
-0.9,1.0,1.3,0.51155,0.41142
-0.9,1.0,1.4,0.54186,0.42807
-0.9,1.1,0.5,0.21678,0.20023
-0.9,1.1,0.6,0.25646,0.23308
-0.9,1.1,0.7,0.29494,0.26363
-0.9,1.1,0.8,0.3319,0.29192
-0.9,1.1,0.9,0.3676,0.31811
-0.9,1.1,1.0,0.40195,0.34219
-0.9,1.1,1.1,0.43521,0.36433
-0.9,1.1,1.2,0.46684,0.38444
-0.9,1.1,1.3,0.49747,0.4028
-0.9,1.1,1.4,0.52683,0.41938
-0.9,1.2,0.5,0.21115,0.19538
-0.9,1.2,0.6,0.24957,0.22733
-0.9,1.2,0.7,0.2868,0.2571
-0.9,1.2,0.8,0.32255,0.28469
-0.9,1.2,0.9,0.35702,0.31022
-0.9,1.2,1.0,0.39037,0.33383
-0.9,1.2,1.1,0.42224,0.35544
-0.9,1.2,1.2,0.45307,0.37533
-0.9,1.2,1.3,0.48252,0.39339
-0.9,1.2,1.4,0.50985,0.40942
-0.9,1.3,0.5,0.20499,0.19003
-0.9,1.3,0.6,0.24227,0.22114
-0.9,1.3,0.7,0.27809,0.25004
-0.9,1.3,0.8,0.3126,0.27688
-0.9,1.3,0.9,0.34592,0.30178
-0.9,1.3,1.0,0.37799,0.32479
-0.9,1.3,1.1,0.40891,0.34603
-0.9,1.3,1.2,0.43836,0.3654
-0.9,1.3,1.3,0.46575,0.38275
-0.9,1.3,1.4,0.49154,0.39845
-0.9,1.4,0.5,0.19847,0.18433
-0.9,1.4,0.6,0.2344,0.21448
-0.9,1.4,0.7,0.2689,0.2425
-0.9,1.4,0.8,0.30216,0.26857
-0.9,1.4,0.9,0.33429,0.29281
-0.9,1.4,1.0,0.36519,0.31524
-0.9,1.4,1.1,0.39455,0.33575
-0.9,1.4,1.2,0.422,0.3543
-0.9,1.4,1.3,0.44805,0.37127
-0.9,1.4,1.4,0.47289,0.38683
-0.8,0.5,0.5,0.23642,0.21684
-0.8,0.5,0.6,0.28167,0.25364
-0.8,0.5,0.7,0.3262,0.28824
-0.8,0.5,0.8,0.37005,0.32057
-0.8,0.5,0.9,0.41278,0.35039
-0.8,0.5,1.0,0.45472,0.37776
-0.8,0.5,1.1,0.49506,0.40257
-0.8,0.5,1.2,0.53379,0.42469
-0.8,0.5,1.3,0.57097,0.44418
-0.8,0.5,1.4,0.60661,0.46103
-0.8,0.6,0.5,0.23513,0.21578
-0.8,0.6,0.6,0.27992,0.25226
-0.8,0.6,0.7,0.32394,0.28647
-0.8,0.6,0.8,0.36704,0.31835
-0.8,0.6,0.9,0.40911,0.34764
-0.8,0.6,1.0,0.44952,0.37442
-0.8,0.6,1.1,0.48858,0.39871
-0.8,0.6,1.2,0.52613,0.42048
-0.8,0.6,1.3,0.56224,0.43976
-0.8,0.6,1.4,0.59668,0.45653
-0.8,0.7,0.5,0.23329,0.21424
-0.8,0.7,0.6,0.2774,0.25021
-0.8,0.7,0.7,0.32066,0.28393
-0.8,0.7,0.8,0.36265,0.31512
-0.8,0.7,0.9,0.4036,0.34385
-0.8,0.7,1.0,0.44291,0.37014
-0.8,0.7,1.1,0.48077,0.39397
-0.8,0.7,1.2,0.51722,0.41543
-0.8,0.7,1.3,0.55213,0.43448
-0.8,0.7,1.4,0.58586,0.45124
-0.8,0.8,0.5,0.23072,0.21208
-0.8,0.8,0.6,0.27407,0.24751
-0.8,0.8,0.7,0.31618,0.28046
-0.8,0.8,0.8,0.35717,0.31104
-0.8,0.8,0.9,0.39691,0.3392
-0.8,0.8,1.0,0.43502,0.36494
-0.8,0.8,1.1,0.47174,0.38836
-0.8,0.8,1.2,0.50703,0.40948
-0.8,0.8,1.3,0.54127,0.42844
-0.8,0.8,1.4,0.5736,0.44516
-0.8,0.9,0.5,0.2274,0.20927
-0.8,0.9,0.6,0.26964,0.24391
-0.8,0.9,0.7,0.31077,0.27622
-0.8,0.9,0.8,0.35076,0.30616
-0.8,0.9,0.9,0.38905,0.33366
-0.8,0.9,1.0,0.42599,0.35887
-0.8,0.9,1.1,0.4616,0.38189
-0.8,0.9,1.2,0.49594,0.40278
-0.8,0.9,1.3,0.52888,0.4215
-0.8,0.9,1.4,0.56012,0.43814
-0.8,1.0,0.5,0.22323,0.20573
-0.8,1.0,0.6,0.26445,0.23966
-0.8,1.0,0.7,0.3044,0.2712
-0.8,1.0,0.8,0.34305,0.30038
-0.8,1.0,0.9,0.38017,0.32728
-0.8,1.0,1.0,0.41601,0.35202
-0.8,1.0,1.1,0.45053,0.37465
-0.8,1.0,1.2,0.48382,0.39519
-0.8,1.0,1.3,0.51541,0.41367
-0.8,1.0,1.4,0.54592,0.43031
-0.8,1.1,0.5,0.21838,0.20159
-0.8,1.1,0.6,0.2584,0.23466
-0.8,1.1,0.7,0.29722,0.26542
-0.8,1.1,0.8,0.33448,0.29387
-0.8,1.1,0.9,0.37049,0.32019
-0.8,1.1,1.0,0.40514,0.3444
-0.8,1.1,1.1,0.43865,0.36661
-0.8,1.1,1.2,0.47054,0.38678
-0.8,1.1,1.3,0.50139,0.40515
-0.8,1.1,1.4,0.53098,0.42174
-0.8,1.2,0.5,0.21285,0.19682
-0.8,1.2,0.6,0.25161,0.229
-0.8,1.2,0.7,0.28915,0.25897
-0.8,1.2,0.8,0.32523,0.28672
-0.8,1.2,0.9,0.35998,0.31239
-0.8,1.2,1.0,0.39359,0.3361
-0.8,1.2,1.1,0.42575,0.35781
-0.8,1.2,1.2,0.45681,0.37775
-0.8,1.2,1.3,0.48654,0.39586
-0.8,1.2,1.4,0.51423,0.41196
-0.8,1.3,0.5,0.20675,0.19154
-0.8,1.3,0.6,0.24436,0.22287
-0.8,1.3,0.7,0.2805,0.25196
-0.8,1.3,0.8,0.31532,0.27898
-0.8,1.3,0.9,0.34893,0.30402
-0.8,1.3,1.0,0.38129,0.32715
-0.8,1.3,1.1,0.41246,0.34848
-0.8,1.3,1.2,0.44222,0.36794
-0.8,1.3,1.3,0.46997,0.38539
-0.8,1.3,1.4,0.49598,0.40111
-0.8,1.4,0.5,0.20026,0.18588
-0.8,1.4,0.6,0.23654,0.21626
-0.8,1.4,0.7,0.27136,0.24449
-0.8,1.4,0.8,0.30491,0.27072
-0.8,1.4,0.9,0.33736,0.29512
-0.8,1.4,1.0,0.36854,0.31768
-0.8,1.4,1.1,0.39825,0.33833
-0.8,1.4,1.2,0.42602,0.35698
-0.8,1.4,1.3,0.45231,0.374
-0.8,1.4,1.4,0.47737,0.38959
-0.7,0.5,0.5,0.23709,0.21737
-0.7,0.5,0.6,0.28268,0.25442
-0.7,0.5,0.7,0.32747,0.28918
-0.7,0.5,0.8,0.37159,0.32165
-0.7,0.5,0.9,0.4146,0.35161
-0.7,0.5,1.0,0.45684,0.3791
-0.7,0.5,1.1,0.49748,0.40399
-0.7,0.5,1.2,0.53652,0.42618
-0.7,0.5,1.3,0.574,0.4457
-0.7,0.5,1.4,0.60988,0.46253
-0.7,0.6,0.5,0.23605,0.21654
-0.7,0.6,0.6,0.2811,0.25319
-0.7,0.6,0.7,0.3253,0.28748
-0.7,0.6,0.8,0.36868,0.31953
-0.7,0.6,0.9,0.41095,0.34903
-0.7,0.6,1.0,0.45187,0.37592
-0.7,0.6,1.1,0.49123,0.4003
-0.7,0.6,1.2,0.52909,0.42213
-0.7,0.6,1.3,0.56546,0.44143
-0.7,0.6,1.4,0.60017,0.45819
-0.7,0.7,0.5,0.23438,0.21513
-0.7,0.7,0.6,0.27876,0.25128
-0.7,0.7,0.7,0.3223,0.28517
